epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,236.901,1.63161,2.08642,1.34941,0.97068,0.76515,0.71241,0.74523,0.48573,0.749,0.69737,0.72883,0.37524,1.47365,1.94615,1.10537,0.93309,0.0006536,0.0006536,0.0006536
138,239.365,1.57118,1.89342,1.4091,0.95418,0.76515,0.71241,0.74523,0.48573,0.749,0.69737,0.72883,0.37524,1.47365,1.94615,1.10537,0.93309,0.0006437,0.0006437,0.0006437
139,241.037,1.90024,2.18206,1.3157,0.92129,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0006338,0.0006338,0.0006338
140,242.737,1.59006,1.9005,1.3044,0.97539,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0006239,0.0006239,0.0006239
141,244.393,1.56972,1.93253,1.26364,0.96151,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.000614,0.000614,0.000614
142,246.083,1.71933,2.089,1.27009,0.99138,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0006041,0.0006041,0.0006041
143,247.879,1.66567,1.97289,1.27387,0.93602,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0005942,0.0005942,0.0005942
144,249.81,1.62992,1.89063,1.26775,0.95768,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0005843,0.0005843,0.0005843
145,251.263,1.8447,2.33017,1.26707,0.90651,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0005744,0.0005744,0.0005744
146,252.81,1.73957,2.21262,1.42902,0.99999,0.75146,0.71041,0.74549,0.48897,0.73555,0.69537,0.72793,0.37582,1.44612,1.90828,1.12421,0.93369,0.0005645,0.0005645,0.0005645
147,254.566,1.44768,1.9028,1.27314,0.94316,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0005546,0.0005546,0.0005546
148,256.144,1.58534,1.85843,1.23409,0.97553,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0005447,0.0005447,0.0005447
149,257.786,1.5436,1.85007,1.31098,0.94185,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0005348,0.0005348,0.0005348
150,259.466,1.79088,2.28442,1.41302,0.99357,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0005249,0.0005249,0.0005249
151,261.462,1.60636,2.10307,1.30508,0.93854,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.000515,0.000515,0.000515
152,263.948,1.60396,2.08165,1.39798,1.01364,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0005051,0.0005051,0.0005051
153,265.65,1.76298,1.94075,1.23516,0.93527,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0004952,0.0004952,0.0004952
154,267.261,1.73632,2.26013,1.24213,0.9361,0.75195,0.71241,0.74552,0.50065,0.73608,0.69737,0.73005,0.38859,1.40138,1.89033,1.11403,0.92638,0.0004853,0.0004853,0.0004853
155,268.929,1.66603,2.14426,1.21065,0.95605,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004754,0.0004754,0.0004754
156,270.673,1.58818,1.96285,1.30644,0.9748,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004655,0.0004655,0.0004655
157,272.726,1.53836,1.96105,1.2398,0.96151,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004556,0.0004556,0.0004556
158,274.388,1.55981,1.91557,1.19218,0.93766,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004457,0.0004457,0.0004457
159,276.049,1.76001,2.08279,1.22992,0.93455,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004358,0.0004358,0.0004358
160,277.517,1.9392,2.2928,1.2483,0.91974,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004259,0.0004259,0.0004259
161,279.446,1.69949,2.14381,1.22975,0.9462,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.000416,0.000416,0.000416
162,281.047,1.57685,2.11369,1.40374,1.03472,0.75709,0.71617,0.75236,0.50199,0.75207,0.69561,0.73585,0.40637,1.38322,1.83806,1.08729,0.9232,0.0004061,0.0004061,0.0004061
163,282.625,1.8435,2.29438,1.23322,0.91546,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003962,0.0003962,0.0003962
164,284.224,1.63557,1.97233,1.15343,0.92623,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003863,0.0003863,0.0003863
165,285.849,1.48838,1.96177,1.3077,0.99778,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003764,0.0003764,0.0003764
166,287.839,1.6605,2.09572,1.30065,0.99476,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003665,0.0003665,0.0003665
167,289.451,1.53912,1.90249,1.25326,0.97983,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003566,0.0003566,0.0003566
168,291.087,1.57741,1.85696,1.17833,0.93789,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003467,0.0003467,0.0003467
169,292.661,1.77531,1.98542,1.21228,0.9379,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003368,0.0003368,0.0003368
170,294.468,1.6098,2.01113,1.20928,0.96921,0.77026,0.71617,0.75743,0.51444,0.76436,0.70489,0.75065,0.43001,1.34787,1.81457,1.07584,0.91634,0.0003269,0.0003269,0.0003269
171,296.151,1.39648,1.87367,1.22361,0.94472,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.000317,0.000317,0.000317
172,297.673,1.6604,1.91115,1.10114,0.92663,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0003071,0.0003071,0.0003071
173,299.405,1.51223,1.8777,1.29529,0.96609,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0002972,0.0002972,0.0002972
174,301.056,1.83234,2.07442,1.27203,0.94679,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0002873,0.0002873,0.0002873
175,302.599,1.71287,2.1575,1.29704,1.00271,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0002774,0.0002774,0.0002774
176,304.145,1.85726,2.11276,1.17622,0.93745,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0002675,0.0002675,0.0002675
177,305.691,1.67143,1.99463,1.23739,0.97364,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0002576,0.0002576,0.0002576
178,307.398,1.75816,2.11901,1.16985,0.9294,0.77055,0.71332,0.75917,0.51323,0.76652,0.70969,0.75289,0.42662,1.34627,1.82717,1.06692,0.91808,0.0002477,0.0002477,0.0002477
179,309.332,1.50551,1.91931,1.17732,0.92472,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0002378,0.0002378,0.0002378
180,310.999,1.44599,1.94451,1.37384,1.0013,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0002279,0.0002279,0.0002279
181,312.645,1.56489,1.93431,1.22864,0.95658,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.000218,0.000218,0.000218
182,314.53,1.6487,1.98519,1.16334,0.92664,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0002081,0.0002081,0.0002081
183,316.234,1.52047,1.80136,1.17039,0.92954,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0001982,0.0001982,0.0001982
184,318.693,1.68976,1.99119,1.20818,0.95167,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0001883,0.0001883,0.0001883
185,320.398,1.54548,1.8943,1.19518,0.93289,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0001784,0.0001784,0.0001784
186,322.101,1.61354,1.95323,1.20285,0.95219,0.77721,0.71241,0.76218,0.51921,0.77105,0.70677,0.75414,0.43677,1.33312,1.809,1.08165,0.91501,0.0001685,0.0001685,0.0001685
187,323.717,1.66538,1.95503,1.16278,0.929,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,0.0001586,0.0001586,0.0001586
188,325.261,1.61948,1.92836,1.16296,0.95636,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,0.0001487,0.0001487,0.0001487
189,327.128,1.57445,1.91872,1.19722,0.94812,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,0.0001388,0.0001388,0.0001388
190,329.002,1.66978,2.08558,1.19123,0.91341,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,0.0001289,0.0001289,0.0001289
191,345.595,1.5988,2.02718,1.18611,0.95118,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,0.000119,0.000119,0.000119
192,347.585,1.60056,1.87109,1.15066,0.94114,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,0.0001091,0.0001091,0.0001091
193,349.794,1.62856,2.03996,1.2036,0.94091,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,9.92e-05,9.92e-05,9.92e-05
194,351.709,1.52346,1.91158,1.23817,0.95517,0.7787,0.71617,0.76423,0.52117,0.7663,0.70489,0.75191,0.43041,1.33359,1.80227,1.08581,0.91672,8.93e-05,8.93e-05,8.93e-05
195,353.337,1.41542,1.96124,1.25824,0.95148,0.77925,0.71805,0.76577,0.51647,0.76905,0.70865,0.75467,0.4227,1.33966,1.81013,1.07867,0.91761,7.94e-05,7.94e-05,7.94e-05
196,354.779,1.6709,2.11846,1.28987,0.99741,0.77925,0.71805,0.76577,0.51647,0.76905,0.70865,0.75467,0.4227,1.33966,1.81013,1.07867,0.91761,6.95e-05,6.95e-05,6.95e-05
197,356.363,1.48372,1.93953,1.28127,0.9847,0.77925,0.71805,0.76577,0.51647,0.76905,0.70865,0.75467,0.4227,1.33966,1.81013,1.07867,0.91761,5.96e-05,5.96e-05,5.96e-05
198,357.907,1.76212,2.10091,1.29375,0.91434,0.77925,0.71805,0.76577,0.51647,0.76905,0.70865,0.75467,0.4227,1.33966,1.81013,1.07867,0.91761,4.97e-05,4.97e-05,4.97e-05
199,359.428,1.54293,1.94076,1.19008,0.95774,0.77925,0.71805,0.76577,0.51647,0.76905,0.70865,0.75467,0.4227,1.33966,1.81013,1.07867,0.91761,3.98e-05,3.98e-05,3.98e-05
200,360.94,1.70667,2.02316,1.19335,0.93597,0.77925,0.71805,0.76577,0.51647,0.76905,0.70865,0.75467,0.4227,1.33966,1.81013,1.07867,0.91761,2.99e-05,2.99e-05,2.99e-05
